Timestamp,Name,Status Code,Request Type,Response Time (ms),Response Length
2024-04-14 20:21:30.091171,/Backend/,200,GET,33.13,6050
2024-04-14 20:21:31.287402,/Backend/,200,GET,90.492,6050
2024-04-14 20:21:35.809690,/Backend/,200,GET,4.564,6050
2024-04-14 20:21:36.947633,/Backend/,200,GET,7.054,6050
2024-04-14 20:21:40.548465,/Backend/,200,GET,6.093999999999999,6050
2024-04-14 20:21:43.818853,/Backend/,200,GET,4.138,6050
2024-04-14 20:21:48.835836,/Backend/,200,GET,4.861,6050
2024-04-14 20:21:51.114713,/Backend/,200,GET,6.168,6050
2024-04-14 20:21:52.862761,/Backend/,200,GET,3.8019999999999996,6050
2024-04-14 20:21:55.655326,/Backend/,200,GET,4.571000000000001,6050
2024-04-14 20:21:58.454739,/Backend/,200,GET,9.822,6050
2024-04-14 20:22:02.725479,/Backend/,200,GET,5.401999999999999,6050
2024-04-14 20:22:07.002075,/Backend/,200,GET,4.204000000000001,6050
2024-04-14 20:22:11.525324,/Backend/,200,GET,8.731,6050
2024-04-14 20:22:12.715006,/Backend/,200,GET,5.939,6050
2024-04-14 20:22:15.506482,/Backend/,200,GET,2.9979999999999998,6050
2024-04-14 20:22:16.702235,/Backend/,200,GET,5.113,6050
2024-04-14 20:22:18.176249,/Backend/,200,GET,9.391,6050
2024-04-14 20:22:19.591500,/Backend/,200,GET,5.348000000000001,6050
2024-04-14 20:22:24.131383,/Backend/,200,GET,5.3790000000000004,6050
2024-04-14 20:22:27.437128,/Backend/,200,GET,5.258,6050
2024-04-14 20:22:29.396274,/Backend/,200,GET,4.455,6050
2024-04-14 20:22:33.773639,/Backend/,200,GET,4.4559999999999995,6050
2024-04-14 20:22:35.297031,/Backend/,200,GET,5.897,6050
2024-04-14 20:22:38.878581,/Backend/,200,GET,5.774,6050
2024-04-14 20:22:41.926652,/Backend/,200,GET,4.38,6050
2024-04-14 20:22:43.622144,/Backend/,200,GET,5.026,6050
2024-04-14 20:22:48.441164,/Backend/,200,GET,12.429,6050
2024-04-14 20:22:49.940857,/Backend/,200,GET,3.26,6050
2024-04-14 20:22:52.480389,/Backend/,200,GET,4.218,6050
2024-04-14 20:22:56.108986,/Backend/,200,GET,6.119999999999999,6050
2024-04-14 20:23:01.117332,/Backend/,200,GET,6.726,6050
